Tubo,Largo Tubo,Corte Realizado,Espacio Sobrante
Tubo 1,5000,500,100
Tubo 1,5000,500,100
Tubo 1,5000,500,100
Tubo 1,5000,500,100
Tubo 1,5000,500,100
Tubo 1,5000,1200,100
Tubo 1,5000,1200,100
Tubo 2,5000,1200,200
Tubo 2,5000,1200,200
Tubo 2,5000,1200,200
Tubo 2,5000,1200,200
Tubo 3,6000,1200,300
Tubo 3,6000,1200,300
Tubo 3,6000,300,300
Tubo 3,6000,300,300
Tubo 3,6000,300,300
Tubo 3,6000,300,300
Tubo 3,6000,300,300
Tubo 3,6000,300,300
Tubo 3,6000,300,300
Tubo 3,6000,300,300
Tubo 3,6000,450,300
Tubo 3,6000,450,300
Tubo 4,6000,450,850
Tubo 4,6000,450,850
Tubo 4,6000,450,850
Tubo 4,6000,450,850
Tubo 4,6000,450,850
Tubo 4,6000,450,850
Tubo 4,6000,450,850
Tubo 4,6000,2000,850
Tubo 5,6000,2000,0
Tubo 5,6000,2000,0
Tubo 5,6000,2000,0
Tubo 6,7000,3100,800
Tubo 6,7000,3100,800
